Date,Category,Amount,Payment_Method,Description
2025-05-23,Bills,4681.53,Cash,Expense 0
2025-06-18,Food,3841.24,Credit Card,Expense 1
2026-03-26,Entertainment,1768.75,Debit Card,Expense 2
2025-07-06,Bills,2365.85,UPI,Expense 3
2026-04-04,Shopping,2140.54,Cash,Expense 4
2025-11-24,Entertainment,3333.22,Debit Card,Expense 5
2025-09-02,Entertainment,3349.95,UPI,Expense 6
2025-07-27,Entertainment,2993.59,Debit Card,Expense 7
2025-07-13,Food,2204.75,Cash,Expense 8
2025-08-25,Food,3190.24,Debit Card,Expense 9
2025-06-26,Healthcare,2016.91,Credit Card,Expense 10
2026-01-23,Bills,565.15,UPI,Expense 11
2026-03-09,Food,1701.86,Credit Card,Expense 12
2025-11-15,Shopping,2174.54,Credit Card,Expense 13
2026-03-26,Shopping,3041.34,UPI,Expense 14
2025-06-11,Transport,3924.98,Cash,Expense 15
2025-05-12,Shopping,3299.2,Credit Card,Expense 16
2025-10-25,Food,4153.24,UPI,Expense 17
2026-01-18,Shopping,515.14,Debit Card,Expense 18
2026-01-01,Bills,4048.89,UPI,Expense 19
2026-01-13,Transport,3623.83,UPI,Expense 20
2025-09-18,Healthcare,1589.94,Credit Card,Expense 21
2025-07-13,Healthcare,3899.52,Credit Card,Expense 22
2025-06-21,Food,3591.69,UPI,Expense 23
2026-01-02,Bills,3131.28,Cash,Expense 24
2025-07-16,Food,3239.6,Cash,Expense 25
2026-03-22,Food,3779.42,Debit Card,Expense 26
2025-05-22,Transport,822.61,Debit Card,Expense 27
2025-11-14,Transport,540.67,Credit Card,Expense 28
2026-03-20,Food,1882.25,Debit Card,Expense 29
2025-10-12,Entertainment,183.23,Cash,Expense 30
2025-12-04,Transport,4188.99,Debit Card,Expense 31
2025-05-31,Entertainment,1827.54,UPI,Expense 32
2026-04-08,Healthcare,513.53,Credit Card,Expense 33
2025-05-21,Bills,218.34,UPI,Expense 34
2026-03-02,Bills,4115.49,Debit Card,Expense 35
2025-08-30,Healthcare,1084.34,Credit Card,Expense 36
2026-04-03,Food,3228.26,Debit Card,Expense 37
2026-04-22,Entertainment,4161.89,UPI,Expense 38
2025-05-11,Transport,208.42,Debit Card,Expense 39
2025-10-02,Food,191.1,Debit Card,Expense 40
2025-10-22,Healthcare,1305.77,Cash,Expense 41
2025-08-13,Transport,4796.32,UPI,Expense 42
2025-11-14,Healthcare,1694.83,Credit Card,Expense 43
2025-05-12,Transport,3598.6,Credit Card,Expense 44
2026-03-04,Food,4671.07,Debit Card,Expense 45
2025-05-15,Shopping,2204.67,Cash,Expense 46
2026-01-04,Healthcare,549.8,Credit Card,Expense 47
2025-05-15,Healthcare,2791.97,Credit Card,Expense 48
2025-09-11,Food,3856.3,Debit Card,Expense 49
2025-05-20,Shopping,3633.64,UPI,Expense 50
2025-06-08,Food,419.3,UPI,Expense 51
2025-12-17,Bills,464.18,Credit Card,Expense 52
2026-02-23,Entertainment,371.25,Credit Card,Expense 53
2025-09-18,Shopping,480.78,Credit Card,Expense 54
2025-06-05,Entertainment,4590.27,Debit Card,Expense 55
2026-04-27,Food,1636.11,UPI,Expense 56
2025-07-11,Food,2997.77,Credit Card,Expense 57
2026-04-04,Bills,4790.97,Debit Card,Expense 58
2025-07-29,Food,1427.71,Credit Card,Expense 59
2026-02-28,Bills,3042.8,Credit Card,Expense 60
2026-02-25,Healthcare,4493.62,Credit Card,Expense 61
2026-05-02,Entertainment,4541.89,Cash,Expense 62
2025-07-06,Food,2436.04,Debit Card,Expense 63
2025-12-10,Food,4985.45,Credit Card,Expense 64
2025-05-06,Food,2636.3,UPI,Expense 65
2025-10-22,Shopping,443.78,Credit Card,Expense 66
2026-01-06,Bills,3745.0,Debit Card,Expense 67
2026-02-24,Transport,358.37,UPI,Expense 68
2025-05-15,Shopping,3047.48,UPI,Expense 69
2025-08-23,Food,1978.01,UPI,Expense 70
2026-03-12,Food,2466.01,Debit Card,Expense 71
2025-06-23,Shopping,1535.91,Debit Card,Expense 72
2025-11-04,Bills,2193.76,Cash,Expense 73
2025-11-19,Transport,3358.83,UPI,Expense 74
2026-04-12,Food,904.37,Debit Card,Expense 75
2025-10-16,Entertainment,1325.67,UPI,Expense 76
2026-01-15,Food,1632.37,UPI,Expense 77
2025-06-26,Shopping,1992.09,Cash,Expense 78
2026-04-25,Healthcare,4154.22,Cash,Expense 79
2026-01-31,Entertainment,3433.5,UPI,Expense 80
2026-03-12,Healthcare,4258.54,Credit Card,Expense 81
2025-05-07,Transport,4800.97,Cash,Expense 82
2025-05-06,Healthcare,653.55,Credit Card,Expense 83
2026-03-26,Transport,1639.93,Cash,Expense 84
2026-01-19,Healthcare,3878.37,Cash,Expense 85
2026-02-14,Healthcare,1372.08,Debit Card,Expense 86
2026-01-17,Bills,1795.13,Debit Card,Expense 87
2025-07-31,Healthcare,2385.56,Cash,Expense 88
2025-07-20,Shopping,2206.77,Cash,Expense 89
2026-03-27,Food,3386.73,Cash,Expense 90
2025-11-16,Bills,3704.57,UPI,Expense 91
2026-02-17,Healthcare,4726.97,UPI,Expense 92
2026-03-29,Healthcare,295.09,Debit Card,Expense 93
2025-10-21,Transport,445.75,Cash,Expense 94
2025-11-23,Healthcare,2976.2,Credit Card,Expense 95
2026-03-09,Transport,1122.24,Debit Card,Expense 96
2025-08-24,Bills,3066.9,Debit Card,Expense 97
2025-05-18,Bills,1629.61,UPI,Expense 98
2025-08-21,Shopping,2101.59,Debit Card,Expense 99
2025-11-19,Transport,2387.15,Credit Card,Expense 100
2026-04-27,Healthcare,328.25,Debit Card,Expense 101
2026-02-10,Entertainment,1367.9,Credit Card,Expense 102
2025-05-31,Shopping,3533.2,Cash,Expense 103
2026-04-03,Entertainment,697.47,Cash,Expense 104
2026-04-24,Shopping,2539.74,Credit Card,Expense 105
2025-06-16,Shopping,2384.77,Credit Card,Expense 106
2026-05-04,Bills,1745.69,Debit Card,Expense 107
2026-01-29,Bills,2452.09,UPI,Expense 108
2025-11-15,Transport,3218.42,UPI,Expense 109
2025-07-19,Shopping,571.9,UPI,Expense 110
2025-12-26,Healthcare,2706.36,Credit Card,Expense 111
2025-07-29,Entertainment,4124.02,UPI,Expense 112
2025-11-14,Transport,2969.07,UPI,Expense 113
2025-09-26,Healthcare,1926.29,Debit Card,Expense 114
2025-06-05,Transport,2999.22,UPI,Expense 115
2026-03-22,Entertainment,2789.76,Debit Card,Expense 116
2025-12-19,Food,2343.69,UPI,Expense 117
2025-10-27,Bills,623.68,Cash,Expense 118
2026-03-14,Healthcare,3592.37,UPI,Expense 119
2025-11-06,Entertainment,1292.29,UPI,Expense 120
2025-12-03,Bills,3243.08,Cash,Expense 121
2025-10-18,Healthcare,1168.74,Debit Card,Expense 122
2025-08-04,Transport,376.3,Cash,Expense 123
2025-12-22,Food,942.28,Debit Card,Expense 124
2025-09-25,Food,4872.1,UPI,Expense 125
2026-01-13,Transport,1295.46,Cash,Expense 126
2025-08-09,Healthcare,1988.05,Cash,Expense 127
2026-03-04,Food,2544.71,Cash,Expense 128
2026-01-16,Transport,3990.03,Credit Card,Expense 129
2026-01-14,Healthcare,1140.02,Debit Card,Expense 130
2026-01-30,Entertainment,4741.82,Credit Card,Expense 131
2025-05-15,Healthcare,500.02,Debit Card,Expense 132
2025-07-27,Bills,4476.25,Debit Card,Expense 133
2025-09-18,Bills,4432.58,Credit Card,Expense 134
2025-09-19,Food,2849.97,Debit Card,Expense 135
2025-06-13,Food,3497.0,Debit Card,Expense 136
2025-12-16,Transport,514.89,Debit Card,Expense 137
2026-04-16,Bills,1561.98,Cash,Expense 138
2025-08-28,Food,4266.81,UPI,Expense 139
2025-08-18,Transport,1354.63,Cash,Expense 140
2026-01-09,Shopping,2320.38,Credit Card,Expense 141
2025-05-28,Entertainment,4197.5,Cash,Expense 142
2026-02-09,Food,127.33,Debit Card,Expense 143
2025-08-22,Healthcare,3076.62,Cash,Expense 144
2026-04-09,Entertainment,863.8,UPI,Expense 145
2026-04-14,Transport,2442.68,Credit Card,Expense 146
2026-04-16,Entertainment,1283.26,Debit Card,Expense 147
2025-08-08,Bills,4769.67,UPI,Expense 148
2025-06-07,Shopping,2606.23,Debit Card,Expense 149
2025-10-04,Transport,3292.7,Cash,Expense 150
2025-06-04,Healthcare,1609.73,Credit Card,Expense 151
2025-11-11,Food,2122.76,Credit Card,Expense 152
